Date,Open,High,Low,Close
2022-09-13 16:00,20829.77000000,20927.73000000,20030.00000000,20283.58000000
2022-09-13 20:00,20284.89000000,20421.15000000,19860.00000000,20173.57000000
2022-09-14 00:00,20173.62000000,20541.48000000,20042.15000000,20323.04000000
2022-09-14 04:00,20323.04000000,20405.77000000,20130.98000000,20243.89000000
2022-09-14 08:00,20243.22000000,20419.83000000,20091.19000000,20225.35000000
2022-09-14 12:00,20224.74000000,20389.99000000,20070.00000000,20178.79000000
2022-09-14 16:00,20178.16000000,20238.71000000,19617.62000000,19952.11000000
2022-09-14 20:00,19951.83000000,20393.37000000,19851.21000000,20226.71000000
2022-09-15 00:00,20227.17000000,20270.61000000,19920.00000000,20023.59000000
2022-09-15 04:00,20023.59000000,20330.24000000,19955.43000000,20204.23000000
2022-09-15 08:00,20204.23000000,20225.00000000,20025.00000000,20148.35000000
2022-09-15 12:00,20149.59000000,20194.12000000,19497.00000000,19737.36000000
2022-09-15 16:00,19737.36000000,19947.56000000,19644.10000000,19782.36000000
2022-09-15 20:00,19780.71000000,19894.99000000,19578.00000000,19701.88000000
2022-09-16 00:00,19701.88000000,19814.99000000,19582.05000000,19744.77000000
2022-09-16 04:00,19744.77000000,19859.99000000,19728.00000000,19739.10000000
2022-09-16 08:00,19739.10000000,19890.00000000,19610.13000000,19867.82000000
2022-09-16 12:00,19868.75000000,19875.61000000,19442.76000000,19661.24000000
2022-09-16 16:00,19661.24000000,19661.89000000,19320.01000000,19618.91000000
2022-09-16 20:00,19617.34000000,19819.22000000,19612.42000000,19803.30000000
2022-09-17 00:00,19803.30000000,20071.09000000,19770.00000000,19884.93000000
2022-09-17 04:00,19884.50000000,19988.89000000,19785.49000000,19842.09000000
2022-09-17 08:00,19842.22000000,19916.61000000,19806.64000000,19810.22000000
2022-09-17 12:00,19810.22000000,20037.99000000,19748.08000000,19963.34000000
2022-09-17 16:00,19963.34000000,20189.00000000,19935.08000000,20009.21000000
2022-09-17 20:00,20009.27000000,20145.76000000,19940.00000000,20113.62000000
2022-09-18 00:00,20112.61000000,20117.26000000,19949.95000000,20000.33000000
2022-09-18 04:00,20000.33000000,20098.00000000,19953.58000000,20053.17000000
2022-09-18 08:00,20052.57000000,20102.16000000,19765.01000000,19922.92000000
2022-09-18 12:00,19922.29000000,20029.81000000,19725.00000000,19814.63000000
2022-09-18 16:00,19814.63000000,19879.44000000,19562.45000000,19725.87000000
2022-09-18 20:00,19725.58000000,19753.95000000,19335.62000000,19416.18000000
2022-09-19 00:00,19417.45000000,19518.17000000,18670.00000000,18776.93000000
2022-09-19 04:00,18775.89000000,18879.08000000,18232.56000000,18468.74000000
2022-09-19 08:00,18468.74000000,18800.00000000,18367.88000000,18684.87000000
2022-09-19 12:00,18685.77000000,19433.48000000,18676.47000000,19080.49000000
2022-09-19 16:00,19081.24000000,19560.35000000,18877.00000000,19514.80000000
2022-09-19 20:00,19514.80000000,19686.20000000,19413.53000000,19537.02000000
2022-09-20 00:00,19537.02000000,19634.62000000,19174.74000000,19364.19000000
2022-09-20 04:00,19364.19000000,19589.00000000,19233.38000000,19357.93000000
2022-09-20 08:00,19358.87000000,19424.29000000,19150.00000000,19219.49000000
2022-09-20 12:00,19219.49000000,19269.17000000,18777.00000000,19238.10000000
2022-09-20 16:00,19238.09000000,19319.28000000,18711.87000000,18993.33000000
2022-09-20 20:00,18993.33000000,19093.45000000,18785.01000000,18875.00000000
2022-09-21 00:00,18874.31000000,19060.26000000,18829.30000000,19021.17000000
2022-09-21 04:00,19022.24000000,19135.57000000,18791.20000000,18947.82000000
2022-09-21 08:00,18946.80000000,19205.93000000,18823.53000000,19165.93000000
2022-09-21 12:00,19165.18000000,19477.77000000,19084.17000000,19191.17000000
2022-09-21 16:00,19191.81000000,19956.00000000,18666.00000000,19001.03000000
2022-09-21 20:00,19002.76000000,19072.72000000,18125.98000000,18461.36000000
2022-09-22 00:00,18461.36000000,18789.04000000,18356.39000000,18690.39000000
2022-09-22 04:00,18690.39000000,18969.87000000,18617.41000000,18934.29000000
2022-09-22 08:00,18934.29000000,19285.12000000,18906.10000000,19229.81000000
2022-09-22 12:00,19229.81000000,19317.66000000,18794.06000000,18986.89000000
2022-09-22 16:00,18985.96000000,19499.00000000,18780.01000000,19311.19000000
2022-09-22 20:00,19309.43000000,19550.17000000,19150.00000000,19401.63000000
2022-09-23 00:00,19401.63000000,19467.00000000,19225.73000000,19394.62000000
2022-09-23 04:00,19393.14000000,19500.00000000,19200.00000000,19223.27000000
2022-09-23 08:00,19223.27000000,19273.52000000,18835.00000000,18862.72000000
2022-09-23 12:00,18862.72000000,19077.02000000,18531.42000000,18711.86000000
2022-09-23 16:00,18712.08000000,18852.28000000,18572.55000000,18807.57000000
